Ability,Pick %,Win %,Avg Pick #,Value
Curse of Avernus,98.47%,49.84%,11.66,-14.21%
Jingu Mastery,98.60%,45.47%,11.78,-57.84%
Split Shot,98.37%,47.59%,11.84,-36.54%
Metamorphosis,98.45%,48.61%,11.94,-26.23%
Burrowstrike,98.36%,51.89%,11.98,6.60%
Assassinate,98.10%,47.77%,12.00,-34.55%
Drow Ranger,98.06%,57.13%,12.15,59.15%
Reactive Armor,98.53%,53.31%,12.17,21.03%
Heartstopper Aura,98.14%,51.38%,12.32,1.87%
Exorcism,98.31%,49.48%,12.48,-17.02%
Ghoul Frenzy,98.39%,50.70%,12.55,-4.78%
Poison Attack,98.37%,49.46%,12.69,-16.97%
Walrus PUNCH!,98.34%,47.68%,12.76,-34.72%
Phantom Strike,98.48%,49.74%,12.83,-14.01%
Tree Grab,98.26%,48.82%,12.85,-23.26%
Nature's Prophet,98.42%,52.53%,12.99,14.02%
Magic Missile,98.47%,52.29%,13.07,11.67%
Jakiro,98.02%,48.43%,13.07,-26.86%
Silencer,98.33%,48.83%,13.34,-22.65%
Empower,98.24%,53.42%,13.35,23.26%
Feral Impulse,98.56%,49.35%,13.39,-17.37%
Rearm,89.91%,44.58%,13.48,-65.00%
Acorn Shot,98.22%,47.90%,13.74,-31.52%
Earth Spike,98.33%,55.67%,13.75,46.19%
Corrosive Skin,98.37%,54.90%,14.14,38.85%
Devour,98.28%,50.46%,14.22,-5.42%
Coup de Grace,98.03%,43.65%,14.45,-73.32%
Great Cleave,98.17%,48.36%,14.50,-26.12%
Leap,98.36%,54.08%,14.59,31.10%
Charge of Darkness,98.24%,52.09%,14.64,11.31%
Borrowed Time,98.50%,57.02%,14.64,60.60%
Overpower,98.48%,45.25%,14.70,-57.06%
Reaper's Scythe,98.23%,49.43%,14.77,-15.14%
Rot,97.65%,51.43%,14.87,4.93%
Fervor,98.44%,45.99%,15.06,-49.34%
Decay,98.43%,50.97%,15.37,0.83%
Firestorm,97.84%,52.29%,15.49,14.16%
Black Hole,97.15%,51.41%,15.50,5.38%
Lightning Bolt,97.94%,51.56%,15.50,6.86%
Poison Sting,98.35%,50.66%,15.53,-2.08%
Grow,97.59%,47.15%,15.69,-37.05%
Blade Fury,98.33%,54.28%,15.73,34.28%
Retaliate,96.51%,50.18%,16.07,-6.42%
Medusa,96.20%,56.90%,16.26,60.99%
Shockwave,97.42%,49.39%,16.41,-13.97%
Uproar,97.52%,53.09%,16.47,23.10%
Skeleton Walk,98.05%,53.60%,16.56,28.37%
Reincarnation,98.25%,55.92%,16.66,51.58%
Treant Protector,97.38%,53.36%,16.76,26.09%
Pierce the Veil,98.11%,50.95%,16.79,2.08%
Teleportation,98.57%,50.34%,16.89,-3.95%
Vendetta,98.09%,47.81%,17.05,-29.09%
Headshot,98.41%,48.54%,17.09,-21.76%
Static Link,98.33%,46.74%,17.13,-39.72%
Avalanche,98.27%,55.49%,17.21,47.88%
Liquid Fire,98.18%,51.31%,17.27,6.13%
Chaos Bolt,98.46%,52.53%,17.31,18.40%
Shackles,96.47%,51.41%,17.35,7.20%
Marksmanship,96.79%,47.46%,17.42,-32.19%
Death Ward,96.74%,51.61%,17.48,9.32%
Omnislash,97.83%,48.67%,17.49,-20.08%
Desolate,98.17%,51.90%,17.67,12.42%
Blade Dance,98.28%,46.99%,17.78,-36.57%
Wall of Replica,96.31%,52.05%,18.04,14.35%
Waveform,98.40%,49.46%,18.09,-11.49%
Stifling Dagger,98.14%,47.25%,18.16,-33.57%
Swashbuckle,97.26%,45.23%,18.18,-53.78%
Insatiable Hunger,98.49%,49.27%,18.22,-13.31%
Luminosity,98.13%,48.74%,18.31,-18.49%
Bulwark,97.46%,49.45%,18.33,-11.43%
Alchemist,95.74%,48.36%,18.43,-22.23%
Lina,97.94%,51.59%,18.48,10.14%
Anchor Smash,96.87%,50.38%,18.51,-1.91%
Berserker's Call,96.99%,53.41%,18.58,28.46%
Muerta,97.78%,50.82%,18.76,2.80%
Sun Strike (AD),95.74%,45.74%,18.78,-47.99%
Moment of Courage,98.25%,48.49%,18.89,-20.43%
Focus Fire Facet,95.20%,45.09%,18.89,-54.39%
Blink Strike,97.90%,49.07%,18.97,-14.51%
Disruption,96.44%,54.35%,19.04,38.36%
Pit of Malice,97.80%,53.37%,19.07,28.59%
Reflection,97.75%,53.07%,19.43,25.97%
Mystic Snake,98.16%,48.48%,19.43,-19.94%
Track,97.90%,51.36%,19.63,9.00%
Whirling Death,96.50%,51.31%,19.69,8.55%
Spin Web,97.39%,54.72%,19.81,42.84%
Dream Coil,97.43%,49.22%,19.98,-11.99%
Quill Spray,93.85%,46.63%,20.21,-37.74%
Strafe,98.24%,47.24%,20.21,-31.56%
Untouchable,97.57%,50.32%,20.32,-0.65%
Lucent Beam,95.15%,48.70%,20.34,-16.85%
Skewer,96.07%,50.67%,20.36,2.91%
Flesh Golem,97.61%,52.18%,20.37,17.93%
Spirit Siphon,97.80%,50.55%,20.39,1.71%
Ball Lightning,93.30%,52.00%,20.41,16.26%
Fiend's Grip,95.89%,53.36%,20.49,29.89%
Bristleback,93.94%,51.15%,20.54,7.82%
Frost Arrows,98.25%,48.60%,20.70,-17.51%
Chaotic Offering,95.02%,54.07%,20.73,37.26%
Pulse Nova,90.98%,50.22%,20.75,-1.26%
Snapfire,96.63%,52.47%,20.77,21.30%
Rage,98.34%,51.79%,20.90,14.61%
Ogre Magi,96.88%,53.48%,20.95,31.54%
Boundless Strike,98.39%,50.25%,20.98,-0.76%
God's Rebuke,95.81%,50.16%,21.02,-1.52%
Starbreaker,95.68%,50.62%,21.20,3.20%
Blast Off!,95.28%,47.91%,21.41,-23.64%
Maledict,95.86%,49.68%,21.48,-5.95%
God's Strength,97.10%,48.95%,21.51,-13.20%
Mirana,95.78%,48.21%,21.55,-20.50%
Morphling,94.87%,50.33%,21.59,0.69%
Wild Axes,94.14%,50.17%,21.59,-0.89%
Homing Missile,96.03%,51.15%,21.71,9.00%
Ion Shell,96.05%,48.49%,21.80,-17.50%
Impale,97.69%,52.23%,21.86,19.93%
Pudge,96.96%,50.11%,21.91,-1.21%
Drunken Brawler,98.02%,48.77%,21.96,-14.54%
Arc Warden,95.05%,49.21%,22.04,-10.06%
Mirror Image,95.86%,53.23%,22.07,30.17%
Incapacitating Bite,97.67%,49.90%,22.21,-2.98%
Gush,97.53%,51.34%,22.21,11.40%
Queen of Pain,97.47%,49.94%,22.28,-2.52%
Gyrocopter,96.03%,53.75%,22.35,35.68%
Wraithfire Blast,98.17%,49.97%,22.43,-2.07%
Infest,93.90%,50.17%,22.46,-0.04%
Paralyzing Cask,97.81%,51.78%,22.64,16.25%
Soul Assumption,94.36%,48.32%,22.76,-18.22%
Kraken Shell,95.44%,48.40%,22.87,-17.29%
Phantom's Embrace,97.37%,52.60%,23.02,24.88%
Hoodwink,95.34%,52.27%,23.13,21.68%
Slithereen Crush,95.92%,50.69%,23.15,5.91%
Primal Roar,97.51%,51.72%,23.30,16.30%
Bloodrage,97.15%,46.48%,23.33,-36.02%
Refraction,98.19%,52.02%,23.34,19.38%
Powershot,95.92%,48.83%,23.35,-12.52%
Natural Order,95.23%,54.94%,23.43,48.70%
Kazurai Katana,92.35%,53.50%,23.44,34.24%
Poison Touch,97.33%,47.14%,23.44,-29.34%
Juggernaut,93.78%,49.73%,23.54,-3.32%
Vengeful Spirit,95.47%,48.54%,23.57,-15.19%
Windranger,96.83%,49.25%,23.57,-8.04%
Tidehunter,95.66%,55.02%,23.62,49.68%
Diabolic Edict,94.11%,50.49%,23.63,4.38%
Rocket Barrage,93.72%,50.11%,23.66,0.56%
Sacred Arrow,94.98%,51.42%,23.74,13.78%
Burning Spear,93.45%,48.78%,23.81,-12.54%
Bloodlust,97.77%,49.45%,23.81,-5.88%
Lucky Shot,96.08%,50.29%,23.85,2.57%
Proximity Mines,89.95%,51.06%,23.88,10.30%
Ice Blast,95.09%,53.32%,23.94,32.95%
Dragon Knight,93.30%,57.41%,24.00,73.93%
Shadow Step,95.45%,50.31%,24.03,2.97%
Split Earth,95.94%,49.43%,24.04,-5.78%
Presence of the Dark Lord,97.66%,54.29%,24.04,42.74%
Huskar,91.47%,47.36%,24.05,-26.47%
Centaur Warrunner,94.34%,53.02%,24.09,30.14%
Nightmare,96.86%,46.35%,24.21,-36.43%
Fortune's End,91.00%,52.37%,24.26,23.77%
Shrapnel,97.42%,52.07%,24.32,20.83%
Shadow Walk,97.73%,51.22%,24.39,12.47%
Spirits,92.97%,54.25%,24.43,42.79%
Unknown Ability #1517,92.75%,45.27%,24.44,-47.03%
Razor,95.75%,53.04%,24.49,30.73%
Chain Frost,95.00%,53.32%,24.53,33.58%
Concussive Shot,95.38%,52.02%,24.74,20.82%
Death Prophet,96.97%,53.27%,24.76,33.32%
Doppelganger,97.25%,54.17%,24.79,42.34%
Freezing Field,90.86%,52.05%,24.81,21.15%
Trample,84.52%,49.81%,24.82,-1.24%
Hoof Stomp,94.74%,52.90%,24.95,29.83%
Dazzle,95.87%,48.66%,24.95,-12.55%
Keeper of the Light,92.43%,47.42%,25.06,-24.93%
Fatal Bonds,95.38%,48.93%,25.10,-9.73%
Leshrac,96.75%,56.13%,25.14,62.27%
Enrage,96.49%,51.06%,25.17,11.68%
Snowball,95.75%,52.04%,25.19,21.46%
Tether,72.72%,53.02%,25.19,31.23%
Liquid Frost,96.30%,48.47%,25.24,-14.19%
Alacrity (AD),97.02%,48.53%,25.32,-13.55%
Bramble Maze,94.92%,52.56%,25.45,26.86%
Shapeshift,93.79%,51.22%,25.54,13.65%
Wrath of Nature,96.24%,49.30%,25.64,-5.49%
Viper,90.02%,47.28%,25.70,-25.64%
Meld,95.49%,46.70%,25.70,-31.39%
Pugna,95.59%,52.42%,25.81,25.86%
Spear of Mars,94.76%,51.63%,25.85,18.03%
Luna,92.82%,56.61%,25.87,67.83%
Life Drain,86.37%,48.36%,26.09,-14.42%
Thundergod's Wrath,93.26%,50.73%,26.11,9.27%
Ravage,96.80%,52.77%,26.17,29.73%
Overgrowth,95.50%,51.57%,26.18,17.70%
Bodyguard,96.21%,53.95%,26.25,41.66%
Sinister Gaze,89.14%,52.93%,26.27,31.40%
Glimpse,94.18%,50.24%,26.40,4.65%
Doom,96.96%,49.96%,26.51,2.00%
Battle Trance,95.18%,50.08%,26.62,3.24%
Unknown Ability #1519,89.06%,48.38%,26.62,-13.70%
Reality Rift,94.56%,50.20%,26.62,4.48%
Arcane Orb,79.87%,49.46%,26.76,-2.74%
Shadow Strike,93.30%,47.67%,26.76,-20.66%
Ancient Apparition,92.22%,47.97%,26.89,-17.57%
Necrophos,92.27%,46.33%,26.97,-33.85%
Battery Assault,92.70%,50.94%,27.00,12.27%
Winter's Curse,95.50%,51.01%,27.12,13.06%
Pounce,97.58%,47.90%,27.28,-17.85%
Chaos Meteor (AD),81.69%,47.05%,27.40,-26.25%
Astral Imprisonment,90.46%,48.49%,27.66,-11.60%
Sprout,96.01%,51.10%,27.73,14.66%
Fissure,89.57%,51.04%,27.77,14.06%
Light Strike Array,93.60%,52.18%,27.86,25.57%
Arcane Bolt,69.19%,47.39%,27.93,-22.33%
Reverse Polarity,92.44%,51.20%,27.98,15.86%
Phase Shift,95.53%,50.84%,27.99,12.32%
Dark Willow,89.70%,48.92%,28.01,-6.91%
Rupture,95.19%,49.32%,28.02,-2.90%
Invoker,89.04%,43.77%,28.04,-58.33%
Brain Sap,93.66%,50.81%,28.06,12.01%
Spiked Carapace,96.65%,53.90%,28.15,43.05%
Lone Druid,76.44%,46.47%,28.15,-31.24%
Soulbind,87.23%,51.92%,28.15,23.20%
Mass Serpent Ward,88.12%,49.55%,28.18,-0.40%
Troll Warlord,76.47%,45.29%,28.19,-43.00%
Arcane Curse,89.16%,50.70%,28.35,11.25%
Thunder Strike,86.39%,51.20%,28.40,16.27%
Spirit Link,92.81%,49.71%,28.41,1.40%
Shadow Wave,91.83%,50.13%,28.41,5.63%
Terrorblade,86.12%,51.37%,28.42,17.97%
Nether Blast,85.96%,47.25%,28.45,-23.20%
Spectral Blade,90.41%,46.81%,28.51,-27.45%
Viper Strike,96.06%,50.14%,28.58,5.84%
Crystal Maiden,89.52%,46.31%,28.67,-32.30%
Clinkz,76.21%,45.14%,28.75,-43.93%
Macropyre,92.52%,49.60%,28.78,0.69%
Batrider,92.09%,53.72%,28.78,41.83%
Inner Beast,92.39%,48.64%,28.86,-8.88%
Ice Path,92.18%,52.50%,28.89,29.82%
Lifestealer,88.62%,51.00%,28.92,14.82%
Summon Spirit Bear,46.41%,44.75%,28.95,-47.67%
Ensnare,95.57%,49.49%,29.03,-0.16%
Clockwerk,89.24%,50.67%,29.05,11.64%
Fireblast,93.58%,48.58%,29.13,-9.18%
Tricks of the Trade,92.53%,46.04%,29.17,-34.53%
Mystic Flare,81.00%,47.66%,29.20,-18.32%
Gravekeeper's Cloak,94.09%,50.04%,29.24,5.58%
Laser,93.26%,48.75%,29.25,-7.37%
Tar Bomb,91.40%,49.83%,29.30,3.54%
Enchantress,84.85%,50.79%,29.38,13.23%
Monkey King,87.41%,50.82%,29.49,13.58%
Shield Crash,89.37%,49.74%,29.52,2.78%
Laguna Blade,90.46%,45.79%,29.61,-36.58%
Sunder,92.50%,48.48%,29.62,-9.67%
Mind Flare,87.44%,47.91%,29.69,-15.27%
Icarus Dive,94.25%,49.55%,29.70,1.14%
Wyrm's Wrath,89.16%,48.55%,29.70,-8.92%
Venomancer,82.52%,46.30%,29.75,-31.34%
Cold Snap (AD),93.75%,51.22%,29.79,17.87%
Shadow Poison,39.43%,45.51%,29.84,-39.16%
Astral Spirit,83.50%,50.08%,29.96,6.65%
Slark,80.38%,49.66%,30.01,2.56%
Sand Storm,88.57%,51.18%,30.06,17.73%
Overwhelming Odds,94.57%,49.87%,30.13,4.75%
Shadowraze,73.60%,47.28%,30.14,-21.12%
Dragon Tail,93.39%,51.71%,30.20,23.25%
Grappling Claw,88.03%,49.26%,30.21,-1.32%
Mana Drain,86.35%,46.77%,30.26,-26.13%
Overload,84.39%,48.04%,30.28,-13.42%
Corrosive Haze,93.05%,50.86%,30.28,14.75%
Nethertoxin,89.14%,48.64%,30.31,-7.36%
Shadow Demon,91.06%,52.82%,30.32,34.45%
Venomous Gale,91.74%,48.57%,30.32,-8.04%
The Swarm,92.55%,50.91%,30.33,15.31%
Plasma Field,92.05%,51.28%,30.42,19.11%
Corrosive Weaponry,90.15%,48.50%,30.44,-8.69%
Chronosphere,92.29%,50.13%,30.52,7.70%
Storm Spirit,90.86%,48.56%,30.55,-7.96%
True Form,84.93%,50.52%,30.60,11.75%
Dead Shot,84.24%,49.48%,30.64,1.34%
Ice Shards,90.92%,49.90%,30.65,5.62%
Supernova,86.15%,51.34%,30.71,20.06%
Counterspell,93.10%,51.73%,30.73,24.00%
Outworld Devourer,93.83%,51.72%,30.79,23.90%
Shadow Dance,91.20%,49.45%,30.83,1.26%
Skywrath Mage,91.27%,49.79%,30.86,4.71%
Phantom Rush,91.34%,48.28%,30.86,-10.46%
Electric Vortex,91.34%,50.06%,30.87,7.37%
Bloodseeker,89.83%,51.82%,30.88,25.05%
Toss,81.08%,47.41%,30.98,-19.03%
Dual Breath,85.74%,47.98%,31.12,-13.16%
Purifying Flames,54.85%,46.74%,31.18,-25.54%
Death Pulse,85.64%,48.02%,31.18,-12.68%
Viscous Nasal Goo,72.32%,46.47%,31.18,-28.21%
Dragon Slave,82.82%,46.38%,31.21,-29.09%
Chen,77.10%,47.07%,31.23,-22.17%
Phantasm,87.33%,51.57%,31.26,22.93%
Eye of the Storm,89.62%,48.75%,31.26,-5.27%
Visage,87.30%,47.57%,31.26,-17.07%
Hex,94.77%,50.43%,31.32,11.55%
Omniknight,90.06%,53.75%,31.34,44.74%
Resonant Pulse,92.41%,49.51%,31.37,2.36%
Wraith King,87.39%,52.86%,31.39,35.96%
Hex,95.33%,50.60%,31.40,13.33%
Take Aim,60.64%,45.00%,31.43,-42.67%
Geomagnetic Grip,12.70%,47.09%,31.45,-21.74%
Stinger,68.45%,46.84%,31.48,-24.15%
Rebound,81.35%,48.49%,31.54,-7.60%
Weaver,64.54%,43.71%,31.59,-55.35%
Sonic Wave,86.92%,46.37%,31.61,-28.81%
Decrepify,73.37%,47.65%,31.63,-15.98%
Fire Remnant,87.42%,49.04%,31.64,-2.07%
Kunkka,85.56%,51.12%,31.69,18.87%
Voodoo Restoration,51.54%,52.44%,31.70,32.07%
Echo Slash,80.02%,47.71%,31.70,-15.22%
Searing Chains,87.82%,50.33%,31.76,11.03%
Bane,91.80%,50.87%,31.77,16.36%
Demonic Purge,90.36%,50.10%,31.80,8.69%
Battle Hunger,85.71%,48.88%,31.85,-3.45%
Spark Wraith,68.80%,47.73%,31.89,-14.86%
Puck,81.81%,45.46%,31.93,-37.56%
Axe,89.29%,50.17%,32.01,9.64%
Aphotic Shield,91.11%,50.96%,32.04,17.53%
Acid Spray,89.20%,48.94%,32.06,-2.61%
Spirit Lance,86.06%,48.08%,32.07,-11.19%
Stroke of Fate,68.31%,48.31%,32.15,-8.78%
Starstorm,80.49%,49.24%,32.18,0.49%
Vacuum,81.84%,50.65%,32.19,14.59%
Rip Tide,65.34%,50.90%,32.21,17.10%
Conjure Image,83.70%,50.07%,32.24,8.86%
Phantom Lancer,65.48%,47.37%,32.25,-18.14%
Tornado (AD),77.81%,49.46%,32.28,2.80%
Ghost Walk (AD),86.52%,49.19%,32.28,0.14%
Crippling Fear,85.13%,51.06%,32.31,18.84%
Double Edge,79.26%,49.66%,32.31,4.83%
Warlock,87.89%,51.50%,32.31,23.28%
Torrent,80.23%,51.01%,32.37,18.45%
Epicenter,75.64%,48.90%,32.39,-2.67%
Nether Ward,78.57%,52.64%,32.39,34.70%
Oracle,83.14%,49.69%,32.39,5.18%
Tame the Beasts,65.05%,48.57%,32.40,-5.99%
Phoenix,83.28%,47.27%,32.43,-18.89%
Scream Of Pain,76.57%,48.15%,32.44,-10.15%
Ember Spirit,87.06%,48.86%,32.46,-2.96%
Scatterblast,86.24%,48.45%,32.54,-6.99%
Scorched Earth,86.35%,49.95%,32.57,7.97%
Ether Shock,66.85%,47.99%,32.57,-11.63%
Penitence,89.40%,46.92%,32.59,-22.24%
Cold Feet,82.00%,51.24%,32.62,20.94%
Fade Bolt,74.40%,47.84%,32.63,-13.00%
Ignite,71.06%,47.58%,32.64,-15.62%
Riki,72.24%,47.22%,32.66,-19.20%
Dark Ascension,89.70%,50.00%,32.67,8.58%
Pulverize,78.97%,50.88%,32.72,17.50%
Noxious Plague,89.11%,53.74%,32.72,46.03%
Shuriken Toss,74.65%,46.20%,32.75,-29.30%
Zeus,89.02%,48.37%,32.77,-7.57%
Storm Surge,86.47%,49.42%,32.78,2.93%
Tinker,90.11%,48.47%,32.78,-6.60%
Global Silence,85.32%,50.99%,32.83,18.63%
Crypt Swarm,79.46%,48.78%,32.85,-3.40%
Ink Swell,83.90%,50.08%,32.85,9.64%
Primal Beast,85.95%,51.90%,32.86,27.82%
Crystal Nova,82.29%,51.41%,32.89,22.97%
Mist Coil,67.32%,46.12%,32.90,-29.95%
Holy Persuasion,18.02%,45.06%,32.90,-40.59%
Illusory Orb,86.09%,48.13%,32.90,-9.81%
Malefice,91.91%,51.09%,32.95,19.78%
Unstable Concoction,84.28%,48.90%,32.99,-2.07%
Rolling Boulder,83.88%,50.40%,33.01,12.99%
Overcharge,72.43%,47.69%,33.06,-14.09%
Warpath,70.05%,45.40%,33.09,-36.97%
Rubick,88.66%,48.68%,33.10,-4.18%
Purification,78.30%,51.25%,33.15,21.56%
Celestial Hammer,78.22%,50.04%,33.15,9.47%
Anti-Mage,54.17%,45.49%,33.17,-36.03%
Solar Guardian,90.94%,52.73%,33.18,36.43%
Upheaval,62.47%,47.95%,33.21,-11.33%
Power Cogs,78.92%,49.66%,33.22,5.81%
Templar Assassin,62.51%,46.45%,33.24,-26.34%
Summon Wolves,77.24%,48.27%,33.33,-8.07%
Impalement Arts,71.77%,48.41%,33.35,-6.59%
Bushwhack,84.63%,49.80%,33.35,7.31%
Tusk,85.85%,54.45%,33.43,53.87%
Life Break,78.86%,49.43%,33.44,3.69%
Inner Fire,89.87%,49.43%,33.47,3.69%
Winter Wyvern,68.35%,48.49%,33.51,-5.64%
Earthshock,83.29%,49.47%,33.51,4.15%
Ancient Seal,85.98%,49.95%,33.51,8.96%
Tag Team,77.64%,47.15%,33.51,-19.04%
Nature's Call,22.68%,42.75%,33.53,-63.06%
E.M.P. (AD),73.82%,49.34%,33.58,2.93%
Arcane Aura,77.43%,48.79%,33.64,-2.48%
Chaos Knight,77.85%,48.86%,33.70,-1.77%
Flame Guard,72.57%,48.27%,33.73,-7.59%
Phantom Assassin,68.02%,43.69%,33.73,-53.41%
Repel,89.01%,52.63%,33.75,36.04%
Lion,87.17%,48.94%,33.78,-0.83%
Dismember,76.35%,49.65%,33.84,6.32%
Demonic Summoning,29.76%,46.14%,33.88,-28.78%
Void Spirit,91.28%,51.56%,33.91,25.46%
Bounty Hunter,79.60%,49.04%,34.01,0.33%
Sharpshooter,78.58%,47.78%,34.03,-12.24%
Culling Blade,74.86%,46.68%,34.07,-23.18%
Nature's Attendants,84.84%,52.71%,34.13,37.20%
Illuminate,45.18%,46.85%,34.15,-21.39%
Lunar Orbit,78.72%,50.22%,34.16,12.30%
Io,78.16%,51.11%,34.16,21.23%
Sven,79.00%,49.95%,34.18,9.67%
Rolling Thunder,71.45%,48.30%,34.23,-6.78%
Bone Guard,73.25%,47.43%,34.24,-15.49%
March of the Machines,42.07%,45.08%,34.28,-38.92%
Arena Of Blood,85.80%,52.25%,34.28,32.75%
Echo Slam,62.33%,49.56%,34.28,5.82%
Forge Spirit (AD),21.50%,43.21%,34.29,-57.66%
Sun Ray,25.14%,47.71%,34.29,-12.67%
Static Remnant,51.84%,47.32%,34.32,-16.56%
Brewmaster,80.01%,49.83%,34.35,8.66%
Unknown Ability #1518,78.08%,48.20%,34.38,-7.63%
Ghostship,85.85%,51.88%,34.42,29.13%
Frost Blast,61.76%,48.61%,34.43,-3.55%
Ransack,58.61%,48.56%,34.44,-4.00%
Faceless Void,67.36%,47.06%,34.47,-19.00%
Magnetize,31.31%,48.27%,34.51,-6.78%
Mortimer Kisses,77.85%,50.43%,34.53,14.78%
Shackleshot,89.55%,49.46%,34.55,5.15%
Naga Siren,69.68%,51.56%,34.56,26.15%
Earthshaker,89.20%,51.60%,34.62,26.59%
Plague Ward,46.55%,46.38%,34.65,-25.61%
Chakram,64.86%,49.12%,34.69,1.84%
Fire Spirits,46.12%,47.79%,34.78,-11.38%
Smoke Screen,86.73%,52.39%,34.86,34.69%
Deluge,42.33%,45.67%,34.93,-32.41%
Terrorize,71.12%,50.74%,34.94,18.29%
Kez,63.78%,49.54%,35.03,6.39%
The Calling,81.30%,51.32%,35.03,24.15%
Cold Embrace,75.19%,50.81%,35.03,19.14%
Meat Shield,42.08%,48.16%,35.11,-7.32%
Enfeeble,70.44%,50.91%,35.13,20.20%
Static Storm,79.22%,50.63%,35.15,17.39%
Legion Commander,82.51%,49.43%,35.16,5.43%
Dispose,66.20%,48.76%,35.17,-1.26%
Escape Act,75.60%,49.12%,35.18,2.34%
Scurry,85.86%,50.59%,35.19,17.10%
Midnight Pulse,61.31%,52.28%,35.19,33.93%
Frost Shield,80.61%,49.59%,35.20,7.11%
Witch Doctor,86.85%,49.44%,35.21,5.53%
Aether Remnant,70.24%,50.90%,35.23,20.24%
Nothl Projection,41.63%,42.91%,35.29,-59.64%
Death Pact,79.97%,49.88%,35.31,10.12%
Spirit Form,77.08%,48.68%,35.35,-1.92%
Firefly,73.16%,49.98%,35.36,11.13%
Mars,84.92%,51.89%,35.38,30.29%
Blood Rite,80.97%,50.19%,35.41,13.26%
Hookshot,77.52%,48.63%,35.41,-2.32%
Raptor Dance,77.15%,47.61%,35.43,-12.49%
Cinder Brew,70.93%,48.81%,35.51,-0.42%
Boulder Smash,29.79%,46.81%,35.54,-20.41%
Grimstroke,80.17%,49.76%,35.56,9.14%
Kinetic Field,70.70%,49.16%,35.57,3.13%
Grave Chill,75.80%,45.93%,35.58,-29.10%
Whirling Axes (Melee),77.85%,50.84%,35.61,19.97%
Abaddon,81.39%,47.79%,35.69,-10.41%
Lightning Storm,53.31%,47.77%,35.70,-10.65%
Ice Vortex,58.55%,50.41%,35.71,15.76%
Flux,81.47%,49.54%,35.73,7.12%
Earth Spirit,70.96%,50.11%,35.75,12.83%
